,trial_id,num_layers,num_hidden_units,lr,batchsize,boundary_batchsize,alpha,alpha_decay,lr_decay,patience,epochs,activation,final_boundary_loss,final_pinn_loss
0,18,6,340,0.003,1032,256,0.4598100815349958,0.998,0.95,10,300,selu,1.125576425343752,0.017128681764006615
0,19,7,374,0.003,1032,256,0.20339732573305708,0.998,0.95,10,300,selu,0.5261421645991504,0.009457470790948719
0,20,8,377,0.03,1032,256,0.25367616820168604,0.998,0.95,10,300,selu,203.79932403564453,0.0
0,21,7,101,0.003,1032,256,0.6019734508957355,0.998,0.95,10,300,selu,0.4806266543455422,0.03989074972923845
0,22,5,150,0.03,1032,256,0.6940478544105307,0.998,0.95,10,300,selu,204.62990951538086,0.0
0,23,8,262,0.03,1032,256,0.9409378594402866,0.998,0.95,10,300,selu,204.665864944458,0.0
0,24,6,367,0.03,1032,256,0.4093861232564255,0.998,0.95,10,300,selu,202.24035930633545,0.0
0,25,6,394,0.03,1032,256,0.34987052723271217,0.998,0.95,10,300,selu,208.51317024230957,0.0
0,26,5,440,0.0003,1032,256,0.26158559277055976,0.998,0.95,10,300,selu,0.3415875378996134,0.017555141006596386
0,27,6,478,0.03,1032,256,0.4819226789528013,0.998,0.95,10,300,selu,206.23782634735107,0.0
0,28,9,495,0.003,1032,256,0.2885603220577445,0.998,0.95,10,300,selu,1.2940557040274143,0.012856733403168619
0,29,5,318,0.003,1032,256,0.8567041132875788,0.998,0.95,10,300,selu,1.1371834967285395,0.031164466054178774
0,30,8,159,0.003,1032,256,0.2437803619123602,0.998,0.95,10,300,selu,0.39440455939620733,0.01810208533424884
0,31,6,407,0.003,1032,256,0.6079835003526293,0.998,0.95,10,300,selu,0.8253237679600716,0.017946717736776918
0,32,8,339,0.003,1032,256,0.4326224006401767,0.998,0.95,10,300,selu,0.44147611036896706,0.009092883672565222
0,33,5,295,0.03,1032,256,0.535286870385936,0.998,0.95,10,300,selu,206.2006435394287,0.0
0,34,5,102,0.003,1032,256,0.7267088421051846,0.998,0.95,10,300,selu,0.28825862519443035,0.0402725349413231
0,35,5,168,0.003,1032,256,0.5521316658232626,0.998,0.95,10,300,selu,0.6737834131345153,0.031022656825371087
0,36,5,123,0.0003,1032,256,0.8948615303232168,0.998,0.95,10,300,selu,0.31669417303055525,0.11913760751485825
0,37,9,168,0.03,1032,256,0.6403288663446451,0.998,0.95,10,300,selu,202.30506420135498,0.0
0,38,9,202,0.0003,1032,256,0.4297069441948125,0.998,0.95,10,300,selu,0.3047218946740031,0.03801528108306229
0,39,5,106,0.0003,1032,256,0.6771355640273748,0.998,0.95,10,300,selu,0.44671196583658457,0.10544937709346414
0,40,8,134,0.03,1032,256,0.9301781623717782,0.998,0.95,10,300,selu,201.76167583465576,0.0
0,41,7,292,0.003,1032,256,0.6444112832479176,0.998,0.95,10,300,selu,0.6014940831810236,0.025291313999332488
0,42,5,357,0.03,1032,256,0.7556059610695012,0.998,0.95,10,300,selu,202.5184326171875,0.0
0,43,7,182,0.003,1032,256,0.867999317814474,0.998,0.95,10,300,selu,0.5913205770775676,0.058376453118398786
0,44,9,405,0.003,1032,256,0.9723133029340394,0.998,0.95,10,300,selu,2.061646044254303,0.3904816396534443
0,45,8,279,0.03,1032,256,0.31606647242953834,0.998,0.95,10,300,selu,205.37691593170166,0.0
