,trial_id,num_layers,num_hidden_units,lr,batchsize,boundary_batchsize,beta,alpha,alpha_decay,lr_decay,alpha_limit,patience,epochs,activation,final_boundary_loss,final_pinn_loss
0,57,5,321,0.001,1032,256,0.01,0.9282337632696818,0.998,0.95,0.2,10,200,selu,7.684555485844612,6.89573701048371e-09
0,58,6,158,1e-05,1032,256,1.0,0.926132038032519,0.998,0.95,0.2,10,200,selu,815.1048164367676,1.7903243190176e-06
0,59,7,453,0.0001,1032,256,0.1,0.9106020041021943,0.998,0.95,0.2,10,200,selu,10.513228937983513,1.921319690012524e-07
0,60,8,185,0.0001,1032,256,1e-05,0.9061758063116364,0.998,0.95,0.2,10,200,selu,23.762668311595917,1.948440463195311e-06
0,61,6,498,0.001,1032,256,0.1,0.9354111648934055,0.998,0.95,0.2,10,200,selu,10.477387204766273,5.830342418491202e-08
0,62,6,468,1e-05,1032,256,0.0001,0.9056786938066991,0.998,0.95,0.2,10,200,selu,842.1852035522461,1.929473555151162e-06
0,63,9,484,0.001,1032,256,0.001,0.9869265701104692,0.998,0.95,0.2,10,200,selu,6.758549936115742,3.482044718533528e-09
0,64,8,147,0.0001,1032,256,0.001,0.9331850528751011,0.998,0.95,0.2,10,200,selu,8.532042138278484,6.946061610335619e-07
0,65,8,307,1e-05,1032,256,0.01,0.9636824896462621,0.998,0.95,0.2,10,200,selu,89.69352054595947,2.8448818767401463e-06
0,66,7,451,0.0001,1032,256,0.001,0.9285449409996495,0.998,0.95,0.2,10,200,selu,7.281918950378895,3.0830102559775696e-07
0,67,9,434,1e-05,1032,256,1.0,0.9868119447215099,0.998,0.95,0.2,10,200,selu,27.458632349967957,2.540632877412463e-06
0,68,5,372,0.001,1032,256,0.1,0.9528716987432223,0.998,0.95,0.2,10,200,selu,6.483817994594574,3.002642924923582e-08
0,69,5,229,0.0001,1032,256,0.001,0.9115372057914543,0.998,0.95,0.2,10,200,selu,8.777874559164047,2.8729600813903744e-06
0,70,8,217,0.001,1032,256,0.001,0.9078742234971829,0.998,0.95,0.2,10,200,selu,5.721627987921238,4.377611296027539e-09
0,71,5,168,1e-05,1032,256,0.001,0.9693336546392612,0.998,0.95,0.2,10,200,selu,876.2985687255859,1.9024412551971182e-06
0,72,9,191,1e-05,1032,256,1e-05,0.9326570335736089,0.998,0.95,0.2,10,200,selu,835.6280632019043,6.429602024127234e-07
0,73,7,421,1e-05,1032,256,0.0001,0.9589489339914424,0.998,0.95,0.2,10,200,selu,648.9369945526123,2.6710205247582053e-06
0,74,6,236,1e-05,1032,256,0.01,0.9382487992414392,0.998,0.95,0.2,10,200,selu,570.5728149414062,3.171345596797437e-06
0,75,7,227,1e-05,1032,256,0.0001,0.9540106130732683,0.998,0.95,0.2,10,200,selu,754.3122634887695,1.5636923649253731e-06
0,76,8,316,0.0001,1032,256,1e-05,0.9260290614265744,0.998,0.95,0.2,10,200,selu,8.781100198626518,2.3270947053788404e-06
0,77,5,279,0.001,1032,256,0.0001,0.9105304417809131,0.998,0.95,0.2,10,200,selu,9.095862910151482,1.1290398527208367e-07
0,78,6,101,1e-05,1032,256,0.0001,0.9079468230140272,0.998,0.95,0.2,10,200,selu,879.6808242797852,7.187544106557198e-07
0,79,6,145,0.001,1032,256,0.001,0.9550853482889177,0.998,0.95,0.2,10,200,selu,9.040423803031445,6.650599682078706e-09
0,80,9,205,0.0001,1032,256,0.0001,0.9541362221970542,0.998,0.95,0.2,10,200,selu,7.179484762251377,8.631867416397654e-07
0,81,7,245,0.0001,1032,256,1.0,0.9777518732548095,0.998,0.95,0.2,10,200,selu,5.828985445201397,6.651963282422457e-07
0,82,5,194,0.001,1032,256,1.0,0.9532605580838287,0.998,0.95,0.2,10,200,selu,8.24067336320877,1.5875671638410083e-08
0,83,6,395,0.0001,1032,256,1e-05,0.9369405658590488,0.998,0.95,0.2,10,200,selu,29.564284682273865,4.188220401601939e-06
0,84,6,411,0.0001,1032,256,0.0001,0.9169961618737449,0.998,0.95,0.2,10,200,selu,9.802126079797745,1.6051985554099701e-06
0,85,6,126,0.001,1032,256,0.001,0.9149962677176396,0.998,0.95,0.2,10,200,selu,7.7926226034760475,1.3212928695605086e-08
