,trial_id,num_layers,num_hidden_units,batchsize,boundary_batchsize,weight_change,lr_decay,alpha,patience,epochs,lr,activation,final_boundary_loss,final_pinn_loss
0,26,4,89,512,512,1.0013880167243563,0.9942735957697398,0.10385675347465036,2,400,0.03,selu,20.643787004053593,0.6276558451354504
0,27,9,127,256,512,1.2486668850756992,0.8336571120625359,0.216634786392813,4,400,0.03,selu,806.4743061065674,0.0
0,28,9,112,1032,512,1.3075399451030472,0.9917387792797285,0.39704487375111597,3,400,0.03,selu,204.24351119995117,0.0
0,29,6,101,512,512,1.204070931297844,0.8991032779688423,0.24692993780833872,2,400,0.03,selu,408.34142303466797,0.0
0,30,9,214,256,64,1.2707053859133286,0.8059288505101985,0.1703014556495832,2,400,0.03,selu,804.8852443695068,0.0
0,31,4,149,1032,512,1.026453557758418,0.887681592500677,0.12707072084072962,4,400,0.03,selu,0.3782137166708708,1.8307782411575317
0,32,3,196,256,256,1.0642957955797736,0.9845118884855601,0.4090068475309411,3,400,0.03,selu,10.168988356366754,0.14476205862592906
0,33,9,290,256,128,1.0198084922916912,0.9830147885589418,0.2104536365270646,3,400,0.03,selu,801.9977931976318,0.0
0,34,5,239,2048,256,1.0040969731716083,0.8029489315030228,0.42544132977030447,3,400,0.03,selu,102.80136775970459,0.0
0,35,7,278,512,128,1.240672399034576,0.9471408452515336,0.3063674668487014,3,400,0.03,selu,413.13490295410156,0.0
0,36,3,74,256,64,1.351572471775118,0.8692134657457131,0.36794919085954525,3,400,0.03,selu,0.3197979242540896,0.1350709234829992
0,37,7,263,2048,128,1.3855863965006066,0.8779913905285504,0.1120269949867824,2,400,0.03,selu,105.0150499343872,0.0
0,38,7,175,512,512,1.2381523206139322,0.9603768373514034,0.20775102319211014,2,400,0.03,selu,408.34141635894775,0.0
0,39,4,29,2048,128,1.4074773831648262,0.8981729864491421,0.10104403508660847,3,400,0.03,selu,0.15097149182111025,0.028446821263059974
0,40,2,111,1032,256,1.1709650699851422,0.9852469849060546,0.4877188244118855,4,400,0.03,selu,5.079825192689896,0.050857058726251125
0,41,8,16,2048,256,1.3977820940516676,0.8996702272225184,0.11905954259744225,3,400,0.03,selu,0.12485023122280836,0.05222299275919795
0,42,7,283,256,128,1.0882893259471664,0.9112220574672694,0.3495753459228029,4,400,0.03,selu,798.2354688644409,0.0
0,43,4,181,256,256,1.169987929436977,0.9061811257086733,0.3257788661130184,3,400,0.03,selu,0.7933675325475633,0.18656733771786094
0,44,5,111,1032,512,1.3050018711718778,0.9616350411898575,0.281294394666206,2,400,0.03,selu,204.17070770263672,0.0
0,45,4,48,1032,128,1.4413891083615016,0.9308013320532414,0.3356229384879782,2,400,0.03,selu,0.1979394881054759,0.0747580120805651
0,46,3,98,256,512,1.334294052670784,0.9267585547197681,0.49829082178466155,3,400,0.03,selu,0.20913447439670563,0.06779930839547887
0,47,4,163,1032,256,1.1827093910143414,0.8091268199070665,0.12616299653662716,4,400,0.03,selu,0.3466398436576128,0.24110131990164518
0,48,4,234,1032,256,1.275630054978256,0.9585282480044743,0.14480167961396698,3,400,0.03,selu,205.9368438720703,0.0
0,49,5,82,512,512,1.4245570470286855,0.8567799801980347,0.15457588346952023,2,400,0.03,selu,0.3908707955852151,0.10686603211797774
0,50,6,37,256,128,1.488638213557378,0.8747286186951093,0.276048827096238,2,400,0.03,selu,0.2925232269335538,0.14792346232570708
0,51,5,69,2048,512,1.1405903092707796,0.8172272452795847,0.38374791868618063,4,400,0.03,selu,102.08535385131836,0.0
0,52,6,296,256,512,1.257289301689638,0.8147505907351702,0.29266289670255596,3,400,0.03,selu,806.474308013916,0.0
0,53,8,161,256,512,1.2697254155634232,0.8874502747923114,0.4300345666308897,2,400,0.03,selu,806.4742860794067,0.0
0,54,7,162,256,256,1.3468440713058987,0.860227622983295,0.174017540576742,4,400,0.03,selu,804.1424283981323,0.0
0,55,3,70,2048,128,1.07812889698057,0.8495872475455405,0.4838614343986788,2,400,0.03,selu,0.14735698327422142,0.11588823050260544
0,56,8,23,2048,128,1.341717294543183,0.886061416386256,0.3938736477318414,4,400,0.03,selu,0.21047819964587688,0.030827566282823682
0,57,7,77,1032,512,1.3292542260197762,0.8431287704453809,0.34143444880880414,3,400,0.03,selu,0.346274072304368,0.08576284442096949
0,58,5,137,2048,512,1.3699360886480585,0.9716114382479829,0.24736521694425748,2,400,0.03,selu,1.0922040194272995,0.06731120264157653
0,59,6,261,512,512,1.2796871186326535,0.8061937584353043,0.3755163369640204,2,400,0.03,selu,408.3414249420166,0.0
0,60,7,94,512,64,1.4148069998398012,0.9572211985584295,0.342356594274306,2,400,0.03,selu,411.471586227417,0.0
0,61,9,150,2048,128,1.1621883766026495,0.8935562876365184,0.3692531186052683,4,400,0.03,selu,100.0960807800293,0.0
0,62,5,98,2048,128,1.1518293597388738,0.8275317870567072,0.19659609310572046,3,400,0.03,selu,0.4909755252301693,0.2742501925677061
0,63,6,117,1032,256,1.3434770274071277,0.9266187658107116,0.45010216671038805,4,400,0.03,selu,203.30938816070557,0.0
