,trial_id,num_layers,num_hidden_units,lr,batchsize,boundary_batchsize,beta,alpha,alpha_decay,lr_decay,alpha_limit,patience,epochs,activation,final_boundary_loss,final_pinn_loss
0,19,6,498,3e-05,1032,256,1000000000.0,0.9681317486431458,0.998,0.95,0.1,10,100,selu,58.23931574821472,26.238165229558945
0,20,5,679,3e-05,1032,256,1000000000.0,0.9662713328524161,0.998,0.95,0.1,10,100,selu,51.71870148181915,24.491665333509445
0,21,9,282,0.003,1032,256,1000000000.0,0.9561471979052188,0.998,0.95,0.1,10,100,selu,32.72751623392105,3.7341272787889466
0,22,6,224,3e-06,1032,256,1000000000.0,0.9966939447295228,0.998,0.95,0.1,10,100,selu,891.3214988708496,9.653017610311508
0,23,8,654,0.003,1032,256,1000000000.0,0.9873606127721021,0.998,0.95,0.1,10,100,selu,80.22379517555237,2.8371295052347705
0,24,7,255,3e-05,1032,256,1000000000.0,0.9860801609500591,0.998,0.95,0.1,10,100,selu,36.75409585237503,11.929067075252533
0,25,7,178,3e-06,1032,256,1000000000.0,0.9873609140930608,0.998,0.95,0.1,10,100,selu,937.1882171630859,11.249751091003418
0,26,6,155,3e-05,1032,256,1000000000.0,0.9794759219865452,0.998,0.95,0.1,10,100,selu,606.5426273345947,21.276398360729218
0,27,5,453,3e-05,1032,256,1000000000.0,0.9791681541091117,0.998,0.95,0.1,10,100,selu,206.31563806533813,30.33765596151352
0,28,8,293,0.003,1032,256,1000000000.0,0.9716532684528815,0.998,0.95,0.1,10,100,selu,50.32391858100891,3.3658835827724927
0,29,7,666,0.0003,1032,256,1000000000.0,0.9701428356204104,0.998,0.95,0.1,10,100,selu,42.74850583076477,2.606586629524827
0,30,5,281,0.003,1032,256,1000000000.0,0.9921768205873859,0.998,0.95,0.1,10,100,selu,49.93344730138779,3.937018064387871
0,31,5,499,3e-05,1032,256,1000000000.0,0.9647251866486128,0.998,0.95,0.1,10,100,selu,197.94060564041138,32.999794602394104
0,32,8,195,0.0003,1032,256,1000000000.0,0.9509078290539645,0.998,0.95,0.1,10,100,selu,37.48425090312958,11.014232838526368
0,33,7,686,0.003,1032,256,1000000000.0,0.9714883884450032,0.998,0.95,0.1,10,100,selu,42.179126381874084,6.144844565959147
0,34,7,396,3e-05,1032,256,1000000000.0,0.9781391666505634,0.998,0.95,0.1,10,100,selu,30.71342921257019,10.956728637218475
0,35,7,407,0.003,1032,256,1000000000.0,0.9695283722337892,0.998,0.95,0.1,10,100,selu,45.6236258149147,5.04308882148468
0,36,8,488,3e-05,1032,256,1000000000.0,0.9818334814790262,0.998,0.95,0.1,10,100,selu,39.13684359192848,9.537306740880013
0,37,5,437,3e-05,1032,256,1000000000.0,0.9738952331818277,0.998,0.95,0.1,10,100,selu,96.72717714309692,21.695231080055237
0,38,9,668,0.003,1032,256,1000000000.0,0.9559611167940295,0.998,0.95,0.1,10,100,selu,62.38880372047424,2.7216597758288117
0,39,7,566,3e-05,1032,256,1000000000.0,0.953253817573663,0.998,0.95,0.1,10,100,selu,38.841134041547775,9.098403975367546
0,40,6,340,0.003,1032,256,1000000000.0,0.9773623849811017,0.998,0.95,0.1,10,100,selu,49.4217392206192,2.5309109987562124
0,41,9,244,3e-06,1032,256,1000000000.0,0.9548467133970967,0.998,0.95,0.1,10,100,selu,847.5501747131348,12.782180607318878
